გამარჯობა!|Здравствуй!|Гамарджоба!
დილა მშვიდობისა|Доброе утро|Дила мшвидобиса
საღამო მშვიდობისა|Добрый вечер|Сагхамо мшвидобиса
ნახვამდის!|До свидания!|Нахвамдис!
გმადლობთ|Спасибо|Гмадлобт
ბოდიში|Извините|Бодиши
მე ვარ ნინო|Я Нино|Ме вар Нино
შენ რა გქვია?|Как тебя зовут?|Шен ра гквиа?
მე მქვია გიორგი|Меня зовут Гиорги|Ме мквиа Гиорги
როგორ ხარ?|Как ты?|Рогор хар?
კარგად ვარ|Я в порядке|К'аргад вар
სასიამოვნოა გაცნობა|Приятно познакомиться|Сасиамовноа гацноба
მე ვცხოვრობ თბილისში|Я живу в Тбилиси|Ме вцховроб Тбилисши
ეს ჩემი მეგობარია|Это мой друг|Ес чеми мегобариа
თქვენ როგორ ხართ?|Как вы поживаете?|Тквен рогор харт?
ჩემი ოჯახი დიდია|Моя семья большая|Чеми оджахи дидиа
მე მყავს და|У меня есть сестра|Ме мкъавс да
მას ჰყავს ძმა|У него есть брат|Мас һкъавс дзма
ჩემი დედა მასწავლებელია|Моя мама учительница|Чеми деда масцавлебелиа
მამაჩემი ექიმია|Мой папа врач|Мамачеми эк'имиа
ჩემი და პატარაა|Моя сестра маленькая|Чеми да п'ат'араа
ბებია სახლში არის|Бабушка дома|Бебиа сахлши арис
ბაბუა ბაღში მუშაობს|Дедушка работает в саду|Бабуа багхши мушаобс
მე მყავს ორი და|У меня две сестры|Ме мкъавс ори да
ჩვენ ვართ ოჯახი|Мы семья|Чвен варт оджахи
დედა სამზარეულოში მუშაობს|Мама работает на кухне|Деда самзареулоши мушаобс
მამა ყოველთვის დაკავებულია|Папа всегда занят|Мама къовелтвис дак'авебулиа
ჩემი ძმა სტუდენტია|Мой брат студент|Чеми дзма ст'удент'иа
ჩვენი ბებია კეთილია|Наша бабушка добрая|Чвени бебиа к'етилиа
მას ჰყავს ორი შვილი|У него двое детей|Мас һкъавс ори швили
მე მშია|Я голоден|Ме мшиа
მე მწყურია|Я хочу пить|Ме мцкъуриа
ეს კარგი რესტორანია|Это хороший ресторан|Ес карги рест'ораниа
მე მინდა ყავა|Я хочу кофе|Ме минда къава
შენ გინდა ჩაი?|Ты хочешь чай?|Шен гинда чаи?
მე ვჭამ პურს|Я ем хлеб|Ме вчьам п'урс
მე მიყვარს ხაჭაპური|Я люблю хачапури|Ме микъварс хачьап'ури
დედა სუპს ამზადებს|Мама готовит суп|Деда суп'с амзадебс
მაგიდაზე პური დევს|На столе лежит хлеб|Магидазе п'ури девс
მინდა ერთი ლუდი|Хочу одно пиво|Минда ерти луди
ანგარიში, გთხოვთ|Счёт, пожалуйста|Ангариши, гтховт
საჭმელი გემრიელია|Еда вкусная|Сачьмели гемриелиа
მე ვსვამ წყალს|Я пью воду|Ме всвам цкъалс
რესტორანში მივდივართ|Мы идём в ресторан|Рест'орaнши мивдиварт
ეს კერძი ცხელია|Это блюдо горячее|Ес к'ердзи цхелиа
ბანანი ტკბილია|Банан сладкий|Банани т'к'билиа
ლიმონი მჟავეა|Лимон кислый|Лимони мжавеа
მე მიყვარს ხილი|Я люблю фрукты|Ме микъварс хили
მას უყვარს ხორცი|Он любит мясо|Мас укъварс хорци
მინდა მენიუ|Хочу меню|Минда мениу
ეს რა ღირს?|Сколько это стоит?|Ес ра гхирс?
ეს ღირს ხუთი ლარი|Это стоит пять лари|Ес гхирс хути лари
მე მინდა ეს პერანგი|Я хочу эту рубашку|Ме минда ес п'еранги
მაღაზია ღიაა|Магазин открыт|Магхазиа гхиаа
მაღაზია დახურულია|Магазин закрыт|Магхазиа дахурулиа
ეს ძალიან ძვირია|Это очень дорого|Ес дзалиан дзвириа
ეს იაფია|Это дёшево|Ес иапиа
მე ვყიდულობ პურს|Я покупаю хлеб|Ме вкъидулоб п'урс
სად არის სალარო?|Где касса?|Сад арис саларо?
მე მაქვს ფული|У меня есть деньги|Ме маквс пули
ეს ფეხსაცმელი მომწონს|Мне нравится эта обувь|Ес пехсацмели момцонс
სხვა ფერი გაქვთ?|У вас есть другой цвет?|Схва пери гаквт?
მინდა უფრო დიდი ზომა|Хочу размер побольше|Минда упро диди зома
ბაზარში ხილი ვიყიდე|Я купил фрукты на рынке|Базарши хили викъиде
ეს კაბა ლამაზია|Это платье красивое|Ес к'аба ламазиа
ბოდიში, სად არის მეტრო?|Извините, где метро?|Бодиши, сад арис мет'ро?
ეს ქუჩა შორია|Эта улица далеко|Ес куча шориа
მარჯვნივ იარეთ|Идите направо|Марджвнив иарет
მარცხნივ იარეთ|Идите налево|Марцхнив иарет
პირდაპირ იარეთ|Идите прямо|П'ирдап'ир иарет
ბანკი ახლოს არის|Банк близко|Банк'и ахлос арис
მუზეუმი ცენტრშია|Музей находится в центре|Музеуми цент'ршиа
მე დავიკარგე|Я заблудился|Ме давик'арге
გთხოვთ, დამეხმარეთ|Пожалуйста, помогите мне|Гтховт, дамехмарет
ეს გზა სწორია?|Эта дорога правильная?|Ес гза сцориа?
სასტუმრო შორს არის|Отель далеко|Саст'умро шорс арис
აეროპორტი ახლოს არის|Аэропорт близко|Аероп'орт'и ахлос арис
ავტობუსი აქ ჩერდება|Автобус останавливается здесь|Авт'обуси ак чердеба
მატარებელი გვიან ჩამოვიდა|Поезд прибыл поздно|Мат'аребели гвиан чамовида
მე ტაქსი მჭირდება|Мне нужно такси|Ме т'акси мчьирдеба
დღეს ცხელა|Сегодня жарко|Дгхес цхела
დღეს ცივა|Сегодня холодно|Дгхес цива
დღეს წვიმს|Сегодня идёт дождь|Дгхес цвимс
დღეს მზეა|Сегодня солнечно|Дгхес мзеа
ხვალ თოვლი იქნება|Завтра будет снег|Хвал товли икнеба
გარეთ ქარია|На улице ветрено|Гарет кариа
ცა ღრუბლიანია|Небо облачное|Ца гхрублианиа
ზამთარში ცივა|Зимой холодно|Замтарши цива
ზაფხულში ცხელა|Летом жарко|Запхулши цхела
გუშინ წვიმდა|Вчера шёл дождь|Гушин цвимда
დღეს კარგი ამინდია|Сегодня хорошая погода|Дгхес карги аминдиа
ხვალ ცხელი იქნება|Завтра будет жарко|Хвал цхели икнеба
მე დილით ადრე ვდგები|Я встаю рано утром|Ме дилит адре вдгеби
მე ვიბან ხელებს|Я мою руки|Ме вибан хелебс
მე საუზმეს ვჭამ|Я ем завтрак|Ме саузмес вчьам
მე სკოლაში მივდივარ|Я иду в школу|Ме ск'олаши мивдивар
ის სამსახურში მიდის|Он идёт на работу|Ис самсахурши мидис
მე წიგნს ვკითხულობ|Я читаю книгу|Ме цигнс вк'итхулоб
საღამოს ტელევიზორს ვუყურებ|Вечером я смотрю телевизор|Сагхамос т'елевизорс вукъуреб
ღამით მე მძინავს|Ночью я сплю|Гхамит ме мдзинавс
ყოველ დღე ვვარჯიშობ|Я тренируюсь каждый день|Къовел дгхе вварджишоб
მე კბილებს ვიხეხავ|Я чищу зубы|Ме к'билебс вихехав
დილით ყავას ვსვამ|Утром я пью кофе|Дилит къавас всвам
საღამოს სახლში ვბრუნდები|Вечером я возвращаюсь домой|Сагхамос сахлши вбрундеби
მე ბანკში ვმუშაობ|Я работаю в банке|Ме банк'ши вмушаоб
შაბათს არ ვმუშაობ|В субботу я не работаю|Шабатс ар вмушаоб
კვირას ვისვენებ|В воскресенье я отдыхаю|К'вирас висвенеб
მე უნივერსიტეტში ვსწავლობ|Я учусь в университете|Ме университ'ет'ши всцавлоб
გაკვეთილი ცხრა საათზე იწყება|Урок начинается в девять часов|Гак'ветили цхра саатзе ицкъеба
სკოლა ორ საათზე მთავრდება|Школа заканчивается в два часа|Ск'ола ор саатзе мтаврдеба
მე ძაღლს ვასეირნებ|Я выгуливаю собаку|Ме дзагхлс васеирнеб
საღამოს მეგობრებს ვხვდები|Вечером я встречаюсь с друзьями|Сагхамос мегобребс вхвдеби
მე მინდა საქართველოში წასვლა|Я хочу поехать в Грузию|Ме минда сакартвелоши цасвла
ხვალ მე წავალ|Завтра я поеду|Хвал ме цавал
ბილეთი უკვე ვიყიდე|Я уже купил билет|Билети ук'ве викъиде
ჩვენი თვითმფრინავი ხვალ არის|Наш самолёт завтра|Чвени твитмпринави хвал арис
მე პასპორტი მაქვს|У меня есть паспорт|Ме п'асп'орт'и маквс
სასტუმროში ოთახი მაქვს|У меня есть номер в отеле|Саст'умроши отахи маквс
მე ზღვაზე მივდივარ|Я еду на море|Ме згхвазе мивдивар
მთაში მოგზაურობა მიყვარს|Я люблю путешествовать в горы|Мташи могзауроба микъварс
მატარებელი ცხრა საათზე მიდის|Поезд отправляется в девять часов|Мат'аребели цхра саатзе мидис
მე ჩემოდანს ვალაგებ|Я собираю чемодан|Ме чемоданс валагеб
ეს ჩემი პირველი მოგზაურობაა|Это моё первое путешествие|Ес чеми п'ирвели могзауробаа
თბილისი ლამაზი ქალაქია|Тбилиси красивый город|Тбилиси ламази калакиа
ბათუმში ზღვა არის|В Батуми есть море|Батумши згхва арис
მე თვითმფრინავით მივფრინავ|Я лечу на самолёте|Ме твитмпринавит мивпринав
ჩვენ მატარებლით ვმგზავრობთ|Мы едем на поезде|Чвен мат'ареблит вмгзавробт
მე ბედნიერი ვარ|Я счастлив|Ме бедниери вар
მე მოწყენილი ვარ|Мне скучно|Ме моцкъенили вар
ის ბრაზობს|Он злится|Ис бразобс
მე ვღელავ|Я волнуюсь|Ме вгхелав
შენ დაღლილი ხარ?|Ты устал?|Шен дагхлили хар?
მე ძალიან დავიღალე|Я очень устал|Ме дзалиан давигхале
ის სევდიანია|Она грустная|Ис севдианиа
მე მეშინია|Я боюсь|Ме мешиниа
ჩვენ ბედნიერები ვართ|Мы счастливы|Чвен бедниереби варт
ის გაბრაზებულია|Он рассерженный|Ис габразебулиа
მე კარგად ვგრძნობ თავს|Я хорошо себя чувствую|Ме к'аргад вгрдзноб тавс
ის ცუდად გრძნობს თავს|Он плохо себя чувствует|Ис цудад грдзнобс тавс
მას უყვარს სიმღერა|Он любит пение|Мас укъварс симгхера
გამოცდის წინ ვნერვიულობ|Перед экзаменом я нервничаю|Гамоцдис цин внервиулоб
დღეს კარგ განწყობაზე ვარ|Сегодня я в хорошем настроении|Дгхес карг ганцкъобазе вар
სად ცხოვრობ?|Где ты живёшь?|Сад цховроб?
რამდენი წლის ხარ?|Сколько тебе лет?|Рамдени цлис хар?
მე ოცი წლის ვარ|Мне двадцать лет|Ме оци цлис вар
საიდან ხარ?|Откуда ты?|Саидан хар?
მე რუსეთიდან ვარ|Я из России|Ме русетидан вар
რომელი საათია?|Который час?|Ромели саатиа?
ახლა სამი საათია|Сейчас три часа|Ахла сами саатиа
რას აკეთებ?|Что ты делаешь?|Рас ак'етеб?
მე ვისვენებ|Я отдыхаю|Ме висвенеб
რატომ ხარ დაღლილი?|Почему ты устал?|Рат'ом хар дагхлили?
სად არის ტუალეტი?|Где туалет?|Сад арис т'уалет'и?
გესმის ქართული?|Ты понимаешь грузинский?|Гесмис картули?
მე ცოტა ქართული ვიცი|Я немного знаю грузинский|Ме цот'а картули вици
ეს რა არის?|Что это?|Ес ра арис?
ეს წიგნია|Это книга|Ес цигниа
ვინ არის ეს კაცი?|Кто этот мужчина?|Вин арис ес к'аци?
ეს ჩემი მასწავლებელია|Это мой учитель|Ес чеми масцавлебелиа
სად არის აეროპორტი?|Где аэропорт?|Сад арис аероп'орт'и?
